source_ip,total_uploads,unique_file_types,unique_protocols,unique_signatures,avg_vtpercent,max_vtpercent,known_malware,malware_ratio
1.54.235.132,9,5,1,7,0.0,0.0,8,0.8888888888888888
1.54.58.152,21,8,1,8,0.0,0.0,19,0.9047619047619048
1.54.87.0,2,1,1,2,0.0,0.0,2,1.0
1.55.131.247,6,4,1,4,0.0,0.0,4,0.6666666666666666
1.55.142.61,5,5,1,4,0.0,0.0,3,0.6
10.10.5.24,1,1,1,1,0.0,0.0,1,1.0
102.82.50.210,2,2,1,1,0.0,0.0,2,1.0
103.131.16.26,5,4,1,4,0.0,0.0,5,1.0
103.216.217.188,1,1,1,1,0.0,0.0,1,1.0
103.247.121.129,36,7,1,6,0.0,0.0,30,0.8333333333333334
104.231.209.246,1,1,1,1,0.0,0.0,1,1.0
105.143.24.81,1,1,1,1,0.0,0.0,1,1.0
109.226.117.230,10,5,1,4,0.0,0.0,7,0.7
109.237.214.176,1,1,1,1,0.0,0.0,1,1.0
110.9.137.249,1,1,1,1,0.0,0.0,0,0.0
112.168.172.154,13,6,1,5,0.0,0.0,8,0.6153846153846154
113.160.202.198,17,6,1,5,0.0,0.0,13,0.7647058823529411
113.160.251.252,4,3,1,3,0.0,0.0,3,0.75
